渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/12/06,1028887307,103774182,,1098,雀巢钙铁锌营养米粉225g,,3,1028887307YK,,,,,,2021/12/08,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887307,103636475,,1098,雀巢超级能恩2配方奶粉800G,,1,1028887307YK,,,,,,2021/12/08,289.8450,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887307,102878793,,1098,雀巢能恩2配方奶粉听装900克,,1,1028887307YK,,,,,,2021/12/08,176.2800,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887307,103774183,,1098,雀巢菠菜营养米粉225g,,7,1028887307YK,,,,,,2021/12/08,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887750,127978751,,1098,雀巢(Nestle)力多精金装较大婴儿配方奶粉2段（6-12个月）900g 克,,2,1028887750YK,,,,,,2021/12/08,144.2630,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887750,103774184,,1098,雀巢什锦水果营养米粉225g,,11,1028887750YK,,,,,,2021/12/08,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887750,127980359,,1098,雀巢Nestle力多精金装3段幼儿配方奶粉900g克罐装（12-36个月适用）,,5,1028887750YK,,,,,,2021/12/08,139.7430,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887750,127965733,,1098,雀巢力多精金装1奶粉,,1,1028887750YK,,,,,,2021/12/08,147.8420,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028887750,125462263,,1098,雀巢金装宝贝营养+胡萝卜营养米粉225g,,5,1028887750YK,,,,,,2021/12/08,27.8730,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888797,11684453525,,1097,康多乐鸡肉肝蔬菜味成犬全价犬粮8kg,,16,1028888797YKNPP,,,,,,2021/12/08,130.8000,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888797,11684453566,,1097,珍致精选金枪鱼肉+鲣鱼+明虾85g,,2,1028888797YKNPP,,,,,,2021/12/08,6.1770,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028889223,638039982,,1097,雀巢咖啡罐装500g,,18,1028889223YK,,,,,,2021/12/08,124.1120,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028889223,103638106,12483914,1097,雀巢怡养 中老年奶粉400g(16袋x25g),Dairy,1,1028889223YK,322.925318,-37.322282,443.00,0.0000,0.103602,2021/12/08,37.3940,36.916667,,,,,,价格差异,不符合价差检查标准,
