渠道,客户名称,"date_format(`订单日期`, '%Y%m%d')",客户PO,客户产品码,雀巢产品码,区域,产品名称,Nestle_BU,数量,SAP_PO,C4开票价,价差,箱价,TPP扣点,实际扣点,"date_format(`客户要求送货日`, '%Y/%m/%d')",客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,20211130,1028795335,134995883,12477184,7282,雀巢咖啡1+2无蔗糖添加双豆拼配条装即溶咖啡330g(新口味30条x11g）,Coffee,2,1028795335YK,616.730880,0.243960,379.05,0.040660,0.011576,2021/12/03,35.7080,31.5875,,,,,," ",,
01 NKA,家乐福,20211130,1028795335,104431708,12495353,7282,雀巢（Nestle）咖啡伴侣瓶装200g,Coffee,2,1028795335YK,282.751799,-14.879401,183.00,0.000000,0.049993,2021/12/03,16.3710,15.25,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,10581890194,,7282,雀巢脆谷乐150g,,2,1028795335YK,,,,,,2021/12/03,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,12174291489,12461587,7282,雀巢（Nestle）怡跃 成人奶粉 女士高蛋白 高钙高铁 安骼脱脂奶粉 350g,Dairy,2,1028795335YK,695.281682,-36.598318,450.00,0.000000,0.050006,2021/12/03,40.2560,37.50,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,12312533118,12342368,7282,雀巢金牌甄选浓郁速溶咖啡80g,Coffee,1,1028795335YK,675.764882,-0.004318,831.00,0.000000,0.000006,2021/12/03,39.1260,34.625,,,,,," ",,
01 NKA,家乐福,20211130,1028795335,124090533,12478718,7282,雀巢咖啡1+2原味双豆拼配条装即溶咖啡 105g(7条x15g),Coffee,2,1028795335YK,203.220839,-0.079161,125.00,0.000000,0.000389,2021/12/03,9.4130,8.333333,,,,,," ",,
01 NKA,家乐福,20211130,1028795335,103635672,12417419,7282,雀巢优麦 高钙配方麦片600g(20袋x30g),Dairy,3,1028795335YK,572.442425,55.247225,212.00,0.000000,-0.106821,2021/12/03,26.5150,21.20,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,193290838,,7282,雀巢优麦中老年配方500g,,3,1028795335YK,,,,,,2021/12/03,23.7300,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,20211130,1028795335,193290839,12417445,7282,雀巢优麦燕麦配方麦片500g,Dairy,3,1028795335YK,572.442425,55.247225,212.00,0.000000,-0.106821,2021/12/03,26.5150,21.20,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,20211130,1028795335,134997033,12480459,7282,雀巢咖啡1+2无蔗糖添加双豆拼配条装即溶咖啡77g(新口味7条x11g),Coffee,2,1028795335YK,203.220839,-0.079161,125.00,0.000000,0.000389,2021/12/03,9.4130,8.333333,,,,,," ",,
