Order Date,PO No.,SAP PO,仓号,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,Order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
2021/12/21,5500467437,5500467437-SHFDC-1221-53,7026,SHFDC,HODEMWKSHF,,,,6,2021/07/31,2021/08/07,exception,跨月订单,Order,2,,2021/08/07,,,,,,,,,,跨月订单
2021/12/21,5500467479,5500467479-SHFDC-1221-54,7026,SHFDC,HODEMWKSHF,,,,132,2021/08/03,2021/08/10,exception,重复订单：订单修改MABD,Order,7,2021/08/09,2021/08/10,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,5700944546,5700944546-HZFDC-1221-55,7433,HZFDC,HODEMWKHZF,,,,29,2021/07/20,2021/07/27,exception,重复订单：订单修改MABD,Order,3,2021/07/26,2021/07/27,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,5700944623,5700944623-HZFDC-1221-56,7433,HZFDC,HODEMWKHZF,,,,12,2021/07/22,2021/07/29,clean,,Order,6,,2021/07/29,,,,,,,,,,
2021/12/21,5700944693,5700944693-HZFDC-1221-57,7433,HZFDC,HODEMWKHZF,,,,34,2021/07/26,2021/08/07,exception,重复订单：订单修改MABD,Order,3,2021/08/06,2021/08/07,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,5700944751,5700944751-HZFDC-1221-58,7433,HZFDC,HODEMWKHZF,,,,4,2021/07/31,2021/08/07,exception,跨月订单,Order,2,,2021/08/07,,,,,,,,,,跨月订单
2021/12/21,5700944794,5700944794-HZFDC-1221-59,7433,HZFDC,HODEMWKHZF,,,,159,2021/08/03,2021/08/10,exception,重复订单：订单修改MABD,Order,6,2021/08/09,2021/08/10,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,6400502297,6400502297-KMFDC-1221-60,7400,KMFDC,POS REPLEN,,,,37,2021/07/26,2021/08/02,exception,跨月订单,Order,5,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,6400502339,6400502339-KMFDC-1221-61,7400,KMFDC,POS REPLEN,,,,40,2021/08/02,2021/08/09,clean,,Order,7,,2021/08/09,,,,,,,,,,
2021/12/21,6400502380,6400502380-KMFDC-1221-62,7400,KMFDC,POS REPLEN,,,,20,2021/08/09,2021/08/16,clean,,Order,5,,2021/08/16,,,,,,,,,,
2021/12/21,7201012172,7201012172-KMFDC-1221-63,7400,KMFDC,HODEMWKKMF,,,,16,2021/07/22,2021/07/30,exception,重复订单：订单修改MABD,Order,4,2021/07/29,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,7201012173,7201012173-KMFDC-1221-64,7400,KMFDC,REGPROWKMF,,,,3,2021/07/22,2021/07/30,exception,重复订单：订单修改MABD,Order,1,2021/07/29,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,7201012250,7201012250-KMFDC-1221-65,7400,KMFDC,HODEMWKKMF,,,,46,2021/07/26,2021/08/02,exception,跨月订单,Order,4,,2021/08/02,,,,,,,,,,跨月订单
2021/12/21,7201012305,7201012305-KMFDC-1221-66,7400,KMFDC,HODEMWKKMF,,,,7,2021/07/31,2021/08/07,exception,跨月订单,Order,3,,2021/08/07,,,,,,,,,,跨月订单
2021/12/21,7201012366,7201012366-KMFDC-1221-67,7400,KMFDC,HODEMWKKMF,,,,235,2021/08/03,2021/08/09,clean,,Order,6,,2021/08/09,,,,,,,,,,
2021/12/21,8650487132,8650487132-WHFDC-1221-68,7429,WHFDC,HODEMWKWHF,,,,53,2021/07/20,2021/07/30,exception,重复订单：订单修改MABD,Order,3,2021/07/28,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
2021/12/21,8650487189,8650487189-WHFDC-1221-69,7429,WHFDC,HODEMWKWHF,,,,23,2021/07/22,2021/07/30,exception,重复订单：订单修改MABD,Order,5,2021/07/29,2021/07/30,,,,,,,,,,重复订单：订单修改MABD
