Order Date,PO No.,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
11/16/2021,1600435777,GZDC,SYSOS,Coffee,,稳定,196,10/29/2021,11/01/2021,exception,,Item,4,,11/01/2021,020434174,12476901,雀巢咖啡1+2特浓双豆拼配条装即溶咖啡 @12(30x13g) CN,,,,48,293,262,价差订单
11/16/2021,1600435777,GZDC,SYSOS,,,稳定,196,10/29/2021,11/01/2021,exception,跨月订单,Order,4,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,1600435913,GZDC,SYSOS,,,稳定,198,11/09/2021,11/11/2021,exception,重复订单：allowance_percent 从(1.3%，5%)修改为(1.3%),Order,3,,11/11/2021,,,,,,,,,,重复订单：allowance_percent 从(1.3%，5%)修改为(1.3%)
11/16/2021,1650504312,WHDC,POS REPLEN,,,,3,10/31/2021,11/04/2021,exception,问题订单; 跨月订单,Order,3,,11/04/2021,,,,,,,,,,问题订单; 跨月订单
11/16/2021,1650504361,WHDC,POS REPLEN,,,,7,11/04/2021,11/08/2021,exception,问题订单,Order,4,,11/08/2021,,,,,,,,,,问题订单
11/16/2021,1650504373,WHDC,POS REPLEN,,,,34,11/07/2021,11/11/2021,exception,问题订单,Order,11,,11/11/2021,,,,,,,,,,问题订单
11/16/2021,2050493321,CDDC,SYSOS,Dairy,,稳定,476,10/29/2021,11/01/2021,exception,,Item,8,,11/01/2021,020046735,12413033,雀巢爱思培学生奶盒装400g,,,,56,293,262,价差订单
11/16/2021,2050493321,CDDC,SYSOS,,,稳定,476,10/29/2021,11/01/2021,exception,跨月订单,Order,8,,11/01/2021,,,,,,,,,,跨月订单
11/16/2021,2050493386,CDDC,SYSOS,,,稳定,30,11/01/2021,11/04/2021,clean,,Order,1,,11/04/2021,,,,,,,,,,
11/16/2021,2050493440,CDDC,SYSOS,Dairy,,稳定,180,11/04/2021,11/08/2021,exception,,Item,4,,11/08/2021,020046735,12413033,雀巢爱思培学生奶盒装400g,,,,56,725,680,价差订单
11/16/2021,2050493440,CDDC,SYSOS,,,稳定,180,11/04/2021,11/08/2021,clean,,Order,4,,11/08/2021,,,,,,,,,,
