Id,Name,流程配置路径
614e7875-d7dd-4547-8d1a-d0717452e60b,mediqtto旗舰店_市场排行_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\mediqtto旗舰店_市场排行_商品排行.xlsx
62ff86df-cb3e-4dd4-acb6-749f974d3053,mediqtto旗舰店_市场排行_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\mediqtto旗舰店_市场排行_品牌排行.xlsx
aa23d267-5180-465a-a34d-f7c25473dacc,mediqtto旗舰店_市场排行_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\mediqtto旗舰店_市场排行_店铺排行.xlsx
04830d7a-3752-4ef4-8279-8caf596f06d3,mediqtto旗舰店_市场排行_一级类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\mediqtto旗舰店_市场排行_一级类目.xlsx
a1df2f78-7c6e-4009-9750-38a89dfa8253,bonpoint童装旗舰店_市场排行_商品排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_商品排行.xlsx
79027d61-1fb5-4cb9-a88f-6e437b62dad1,bonpoint童装旗舰店_市场排行_品牌排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_品牌排行.xlsx
806f88ac-45ce-4d69-9c2d-2b139164a679,bonpoint童装旗舰店_市场排行_店铺排行,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_店铺排行.xlsx
a22fad57-cd0b-4866-91b2-f974b1f1dad4,bonpoint童装旗舰店_竞品分析_竞店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_竞品分析_竞店.xlsx
969b78ff-6339-4c0b-80aa-81283b051db5,bonpoint童装旗舰店_市场排行_一级类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bonpoint童装旗舰店_市场排行_一级类目.xlsx
f91684d8-b9ea-4db6-a5d5-8d148afccea4,BACCARAT巴卡拉旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BACCARAT巴卡拉旗舰店_一级类目_市场.xlsx
fd6230d0-2dca-43ca-bb64-dc7b03eaa6ef,Iecreuset酷彩官方旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Iecreuset酷彩官方旗舰店_一级类目_市场.xlsx
36ce9cc7-691e-43da-8e77-7fa6ee311f21,几致旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_一级类目_市场.xlsx
29cce996-e872-4dba-8c17-b339f27bc6c2,oysho官方旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\oysho官方旗舰店_一级类目_市场.xlsx
e0c83dea-e361-4b05-a0c6-0d3aa83d5030,Salvatore Ferragamo菲拉格慕官方旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_一级类目_市场.xlsx
58019506-75b6-4890-84db-bc2661599b0c,seiko精工眼镜官方旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_一级类目_市场.xlsx
578aeb6d-ba31-44fe-bb32-fd1a56ce436b,icebreaker旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\icebreaker旗舰店_一级类目_市场.xlsx
fca163eb-c1e4-4e32-bdc0-dac1a7aa4fcb,Golden Goose官方旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Golden Goose官方旗舰店_一级类目_市场.xlsx
aa2129ba-fd06-43ef-b586-c73dc56cd535,COACH官方outlet旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\COACH官方outlet旗舰店_一级类目_市场.xlsx
304a7404-20a4-4e4b-8153-45fe4a52da3b,FREYWILLE旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\FREYWILLE旗舰店_一级类目_市场.xlsx
e4cb02be-c749-4235-9773-dc3df1771ff4,bluenile旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\bluenile旗舰店_一级类目_市场.xlsx
b3d97a30-f4d4-4a83-8bb9-fc1c13b93c8d,elemis艾丽美旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\elemis艾丽美旗舰店_一级类目_市场.xlsx
52ac1576-dd07-48ea-b061-be5b5327611c,BONDI WASH旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BONDI WASH旗舰店_一级类目_市场.xlsx
1d343cda-f7bc-4c54-8bf3-82bb15cde5c4,BalmainHair海外旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\BalmainHair海外旗舰店_一级类目_市场.xlsx
b38b7e51-7652-43a2-97f5-99dc5d90f57d,Aesop海外旗舰店_一级类目_市场,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Aesop海外旗舰店_一级类目_市场.xlsx
78264aa1-2f51-4fee-b8ae-18c2cde68c48,TOUS桃丝熊官方旗舰店_市场排行_商品排行2_3类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\TOUS桃丝熊官方旗舰店_市场排行_商品排行2.xlsx
ea45d22d-61de-4492-ad72-99f7bea3167d,TOUS桃丝熊官方旗舰店_市场排行_品牌排行2_3类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\TOUS桃丝熊官方旗舰店_市场排行_品牌排行2.xlsx
9b5e2718-3db7-40aa-ac52-dedcc3c73d7d,TOUS桃丝熊官方旗舰店_市场排行_店铺排行2_3类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\TOUS桃丝熊官方旗舰店_市场排行_店铺排行2.xlsx
e292be98-443a-4cff-b710-5e5c5115a531,Salvatore Ferragamo菲拉格慕官方旗舰店_市场排行_商品排行2_6类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_市场排行_商品排行2.xlsx
d2b1b686-6726-447a-8db4-49640e2c8171,Salvatore Ferragamo菲拉格慕官方旗舰店_市场排行_品牌排行2_6类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_市场排行_品牌排行2.xlsx
1a6d19f5-62d9-422e-9ac0-73ea9d37c913,Salvatore Ferragamo菲拉格慕官方旗舰店_市场排行_店铺排行2_6类目,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_市场排行_店铺排行2.xlsx
