Id,Name,店铺名,流程配置路径
3893fcad-d130-41ba-aaa9-15e7b11e437a,PORTS宝姿男装旗舰店_市场排行_一级类目,PORTS宝姿男装旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\PORTS宝姿男装旗舰店_市场排行_一级类目.xlsx
979f0f93-d3e7-4088-90cf-5a1c5be2360e,Salvatore Ferragamo菲拉格慕官方旗舰店_店铺排行,Salvatore Ferragamo菲拉格慕官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_店铺排行.xlsx
e0c83dea-e361-4b05-a0c6-0d3aa83d5030,Salvatore Ferragamo菲拉格慕官方旗舰店_一级类目_市场,Salvatore Ferragamo菲拉格慕官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\Salvatore Ferragamo菲拉格慕官方旗舰店_一级类目_市场.xlsx
28c78cd8-4de0-40d2-a826-996b956abedd,seiko精工眼镜官方旗舰店_市场排行_店铺排行,SEIKO精工眼镜官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_市场排行_店铺排行.xlsx
58019506-75b6-4890-84db-bc2661599b0c,seiko精工眼镜官方旗舰店_一级类目_市场,SEIKO精工眼镜官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\seiko精工眼镜官方旗舰店_一级类目_市场.xlsx
91221871-da7b-4073-a4d5-5e0a0dbbbeb2,TOUS桃丝熊官方旗舰店_店铺排行,TOUS桃丝熊官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\TOUS桃丝熊官方旗舰店_店铺排行.xlsx
b0642c30-b470-458f-ad30-f5d917403c97,几致旗舰店_店铺排行2,几致旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_市场排行_店铺排行2.xlsx
fdce504f-a1a5-46ea-b3e5-6cfdf564497f,几致旗舰店_市场排行_店铺排行,几致旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_市场排行_店铺排行.xlsx
36ce9cc7-691e-43da-8e77-7fa6ee311f21,几致旗舰店_一级类目_市场,几致旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\几致旗舰店_一级类目_市场.xlsx
f08d276a-3ea1-4ecd-bbf2-7ad6d9486c61,圣罗兰官方旗舰店_店铺排行,圣罗兰官方旗舰店,C:\Users\liuyongfang\AppData\Roaming\生意方舟配置\圣罗兰官方旗舰店_店铺排行.xlsx
